"","uri","marketValue_2010","marketValue_2011","marketValue_2012","marketValue_2013","marketValue_2014","marketValue_2015","marketValue_2016","marketValue_2017","marketValue_2018","marketValue_2019","marketValue_2020","industry","country","organization.image"
"153","bank-of-montreal",NA,35737,38119,40996,43314,39732,41789,48552,50878,50371,32590,"Banking","Canada","http://images.forbes.com/media/lists/companies/bank-of-montreal_416x416.jpg"
"154","china-telecom",NA,47181,47230,42030,37352,53869,41006,40414,38560,42503,27874,"Telecommunications Services","China","http://images.forbes.com/media/lists/companies/china-telecom_416x416.jpg"
"155","occidental-petroleum",NA,80269,81576,67397,74981,58956,57930,48161,65067,46234,14940,"Oil & Gas Operations","United States","http://images.forbes.com/media/lists/companies/occidental-petroleum_416x416.jpg"
"156","british-american-tobacco",NA,76584,100906,101989,104252,99647,111042,123765,119987,90924,88822,"Food, Drink & Tobacco","United Kingdom","http://images.forbes.com/media/lists/companies/british-american-tobacco_416x416.jpg"
"157","nokia",NA,31210,19644,12510,28064,28590,34605,30349,35678,32305,20457,"Technology Hardware & Equipment","Finland","http://images.forbes.com/media/lists/companies/nokia_416x416.jpg"
"158","renault",NA,16678,16355,20292,28727,27524,29032,24586,30754,20873,5774,"Consumer Durables","France","http://images.forbes.com/media/lists/companies/renault_416x416.jpg"
"159","mitsui",NA,31491,31071,26962,25622,23612,22520,26167,30342,27651,24091,"Trading Companies","Japan","http://images.forbes.com/media/lists/companies/mitsui_416x416.jpg"
"160","travelers",NA,25380,23270,31098,29733,34489,32409,33580,35472,36386,25590,"Insurance","United States","http://images.forbes.com/media/lists/companies/travelers_416x416.jpg"
"161","anthem",NA,25527,22539,19756,27989,41342,38748,44046,59219,61643,70777,"Drugs & Biotechnology","United States","http://images.forbes.com/media/lists/companies/anthem_416x416.jpg"
"162","canadian-imperial-bank",NA,33146,31386,32310,34422,29386,31238,34489,40002,36839,26430,"Banking","Canada","http://images.forbes.com/media/lists/companies/canadian-imperial-bank_416x416.jpg"
"163","deutsche-post",NA,21660,22532,29446,45355,38775,35579,40953,50750,43104,36741,"Transportation","Germany","http://images.forbes.com/media/lists/companies/deutsche-post_416x416.jpg"
"164","merck-co",NA,100909,115764,133256,165763,162288,157153,173328,160584,189055,200341,"Drugs & Biotechnology","United States","http://images.forbes.com/media/lists/companies/merck-co_416x416.jpg"
"165","ptt",NA,32087,32909,32887,26656,29074,25270,32363,50893,43750,31339,"Oil & Gas Operations","Thailand","http://images.forbes.com/media/lists/companies/ptt_416x416.jpg"
"166","oil-natural-gas",NA,53192,46592,50546,46357,43665,27794,37242,35720,29647,13394,"Oil & Gas Operations","India","http://images.forbes.com/media/lists/companies/oil-natural-gas_416x416.jpg"
"167","tokio-marine-holdings",NA,24689,22013,23495,23015,29490,26492,30563,35929,35777,32967,"Insurance","Japan","http://images.forbes.com/media/lists/companies/tokio-marine-holdings_416x416.jpg"
"168","bank-of-ny-mellon",NA,35955,29084,33522,40254,45132,44181,48830,57791,46353,33225,"Banking","United States","http://images.forbes.com/media/lists/companies/bank-of-ny-mellon_416x416.jpg"
"169","jardine-matheson",NA,33685,33910,43252,43364,43176,42142,47648,44229,20223,13437,"Conglomerates","Bermuda","http://images.forbes.com/media/lists/companies/jardine-matheson_416x416.jpg"
"170","sberbank",NA,74353,74042,73335,51484,26875,39195,63903,86311,78539,59898,"Banking","Russia","http://images.forbes.com/media/lists/companies/sberbank_416x416.jpg"
"171","ecopetrol",NA,84435,119731,116217,83574,33609,19984,19658,45702,39455,21924,"Oil & Gas Operations","Colombia","http://images.forbes.com/media/lists/companies/ecopetrol_416x416.jpg"
"172","abb",NA,52920,47756,53391,59955,50328,48059,49879,51263,44509,40508,"Conglomerates","Switzerland","http://images.forbes.com/media/lists/companies/abb_416x416.jpg"
"173","mcdonalds",NA,80052,99472,99948,96909,92537,110148,106436,129860,148813,139454,"Hotels, Restaurants & Leisure","United States","http://images.forbes.com/media/lists/companies/mcdonalds_416x416.jpg"
"174","aegon",NA,14211,11356,12700,19850,17466,13000,9958,14114,10748,5283,"Insurance","Netherlands","http://images.forbes.com/media/lists/companies/aegon_416x416.jpg"
"175","capital-one",NA,22671,25065,32134,43981,44132,39221,40325,45058,41225,29485,"Business Services & Supplies","United States","http://images.forbes.com/media/lists/companies/capital-one-financial_416x416.jpg"
"176","china-merchants-bank",NA,46708,42548,44114,45192,64043,66759,66376,112449,130355,120856,"Banking","China","http://images.forbes.com/media/lists/companies/china-merchants-bank_416x416.jpg"
"177","saint-gobain",NA,29336,25723,21646,34503,25825,25629,28000,29765,22546,14375,"Construction","France","http://images.forbes.com/media/lists/companies/saint-gobain_416x416.jpg"
"178","posco",NA,34935,30588,22886,24770,18984,18887,19180,26782,18998,12131,"Materials","South Korea","http://images.forbes.com/media/lists/companies/posco_416x416.jpg"
"179","aflac",NA,26120,21893,23892,28797,28045,28461,29246,35016,36634,26906,"Insurance","United States","http://images.forbes.com/media/lists/companies/aflac_416x416.jpg"
"180","hon-hai-precision",NA,36906,37798,32145,37252,44608,39202,54375,49490,41172,35893,"Technology Hardware & Equipment","Taiwan","http://images.forbes.com/media/lists/companies/hon-hai-precision_416x416.jpg"
"181","3m",NA,65209,62203,73415,89811,105132,102175,113537,121802,126052,87384,"Conglomerates","United States","http://images.forbes.com/media/lists/companies/3m_416x416.jpg"
"182","aia-group",NA,35722,44064,53545,57992,76673,72696,77076,111406,122238,111829,"Insurance","Hong Kong","http://images.forbes.com/media/lists/companies/aia-group_416x416.jpg"
"183","lockheed-martin",NA,28153,28998,29916,52268,63424,69294,78319,92523,88875,109106,"Aerospace & Defense","United States","http://images.forbes.com/media/lists/companies/lockheed-martin_416x416.jpg"
"184","loreal",NA,67904,70842,94758,98666,106559,102872,107454,134220,153010,162517,"Household & Personal Products","France","http://images.forbes.com/media/lists/companies/loreal_416x416.jpg"
"185","honeywell-international",NA,44123,46809,57577,72929,81568,86922,94594,110068,123138,100364,"Conglomerates","United States","http://images.forbes.com/media/lists/companies/honeywell-international_416x416.jpg"
"186","volvo-group",NA,34795,31453,31909,34667,25228,25882,28575,37090,32779,26263,"Consumer Durables","Sweden","http://images.forbes.com/media/lists/companies/volvo-group_416x416.jpg"
"187","national-grid",NA,31966,36320,40701,49630,48994,51444,47978,38489,36321,41323,"Utilities","United Kingdom","http://images.forbes.com/media/lists/companies/national-grid_416x416.jpg"
"188","schneider-electric",NA,43278,38435,42162,50736,47506,39281,41911,48385,47553,50363,"Capital Goods","France","http://images.forbes.com/media/lists/companies/schneider-electric_416x416.jpg"
"189","archer-daniels-midland",NA,23000,21040,21747,28480,30396,23263,25617,24593,23949,20695,"Food, Drink & Tobacco","United States","http://images.forbes.com/media/lists/companies/archer-daniels-midland_416x416.jpg"
"190","lowes",NA,36477,37739,43079,50913,71435,68250,71133,72213,90528,79081,"Retailing","United States","http://images.forbes.com/media/lists/companies/lowes_416x416.jpg"
"191","john-deere",NA,36963,33440,35933,33787,30039,26109,34824,47700,53841,45494,"Capital Goods","United States","http://images.forbes.com/media/lists/companies/john-deere_416x416.jpg"
"192","amgen",NA,49914,53327,68712,95184,117689,122398,120322,115811,109313,140605,"Drugs & Biotechnology","United States","http://images.forbes.com/media/lists/companies/amgen_416x416.jpg"
"193","kddi",NA,30134,29186,29136,46878,64026,81631,68324,65526,52502,66867,"Telecommunications Services","Japan","http://images.forbes.com/media/lists/companies/kddi_416x416.jpg"
"194","surgutneftegas",NA,40489,39923,33729,26453,24160,19665,18524,17192,14004,17931,"Oil & Gas Operations","Russia","http://images.forbes.com/media/lists/companies/surgutneftegas_416x416.jpg"
"195","imperial-brands",NA,32210,40475,35188,38756,44782,49347,46494,35746,31005,20043,"Food, Drink & Tobacco","United Kingdom","http://images.forbes.com/media/lists/companies/imperial-brands_416x416.jpg"
"196","kbc-group",NA,14214,9562,16301,26308,26966,23418,27641,36003,31346,22473,"Banking","Belgium","http://images.forbes.com/media/lists/companies/kbc-group_416x416.jpg"
"197","eli-lilly",NA,40356,46648,62540,65862,79226,85962,94138,89494,119327,147996,"Drugs & Biotechnology","United States","http://images.forbes.com/media/lists/companies/eli-lilly_416x416.jpg"
"198","altria-group",NA,52404,61431,67692,74513,101400,118430,138810,104455,101809,72941,"Food, Drink & Tobacco","United States","http://images.forbes.com/media/lists/companies/altria-group_416x416.jpg"
"199","sun-life-financial",NA,17817,13903,16866,21133,19278,20863,21919,25872,24453,20098,"Diversified Financials","Canada","http://images.forbes.com/media/lists/companies/sun-life-financial_416x416.jpg"
"200","philips",NA,30384,21489,27539,32216,27698,26282,28936,39073,36314,38757,"Health Care Equipment & Services","Netherlands","http://images.forbes.com/media/lists/companies/philips_416x416.jpg"
"201","union-pacific",NA,46532,54320,66495,85751,93485,75382,86811,109652,125620,108428,"Transportation","United States","http://images.forbes.com/media/lists/companies/union-pacific_416x416.jpg"
"202","dnb",NA,24820,21009,26463,28624,26971,21068,25629,31661,31588,19088,"Banking","Norway","http://images.forbes.com/media/lists/companies/dnb_416x416.jpg"
"203","teva-pharmaceutical",NA,46832,41017,35468,44646,54496,58467,32422,19596,15468,12088,"Drugs & Biotechnology","Israel","http://images.forbes.com/media/lists/companies/teva-pharmaceutical_416x416.jpg"
"204","china-unicom",NA,39753,41711,32371,31578,39846,29052,33778,42488,37793,19774,"Telecommunications Services","Hong Kong","http://images.forbes.com/media/lists/companies/china-unicom_416x416.jpg"
"205","ericsson",NA,39988,32416,44078,43485,42142,27366,21423,26119,33351,28915,"Technology Hardware & Equipment","Sweden","http://images.forbes.com/media/lists/companies/ericsson_416x416.jpg"
"206","exelon",NA,28566,33085,28549,28715,29088,31421,33329,39233,47670,36113,"Utilities","United States","http://images.forbes.com/media/lists/companies/exelon_416x416.jpg"
"207","danone",NA,39696,44808,43290,41791,44874,46476,41979,48893,51234,44959,"Food, Drink & Tobacco","France","http://images.forbes.com/media/lists/companies/danone_416x416.jpg"
"208","standard-bank-group",NA,22339,23876,19899,21392,23126,14428,15938,28534,22891,8866,"Banking","South Africa","http://images.forbes.com/media/lists/companies/standard-bank-group_416x416.jpg"
"209","kansai-electric-power",NA,24416,15616,7037,9300,8911,8471,11268,12987,12625,9229,"Utilities","Japan","http://images.forbes.com/media/lists/companies/kansai-electric-power_416x416.jpg"
"210","east-japan-railway",NA,26350,25393,32513,28702,33471,36201,34229,37892,34732,27774,"Transportation","Japan","http://images.forbes.com/media/lists/companies/east-japan-railway_416x416.jpg"
"211","freeport-mcmoran",NA,46833,36569,32094,34185,19913,14611,18206,23572,20287,12821,"Materials","United States","http://images.forbes.com/media/lists/companies/freeport-mcmoran_416x416.jpg"
"212","general-dynamics",NA,28374,25984,24709,37739,44743,42909,57046,60571,51069,37470,"Aerospace & Defense","United States","http://images.forbes.com/media/lists/companies/general-dynamics_416x416.jpg"
"213","ceconomy",NA,23029,13418,9308,13368,11705,10845,10115,3542,2165,917,"Retailing","Germany","http://images.forbes.com/media/lists/companies/ceconomy_416x416.jpg"
"214","southern-company",NA,32370,38424,39556,38625,40872,45264,49287,45453,54082,59964,"Utilities","United States","http://images.forbes.com/media/lists/companies/southern-company_416x416.jpg"
"215","centrica",NA,27363,25811,27665,27665,18805,16968,14817,11186,7838,2928,"Oil & Gas Operations","United Kingdom","http://images.forbes.com/media/lists/companies/centrica_416x416.jpg"
"216","japan-tobacco",NA,40498,51983,61574,56891,65153,84335,66379,55045,41213,33416,"Food, Drink & Tobacco","Japan","http://images.forbes.com/media/lists/companies/japan-tobacco_416x416.jpg"
"217","hess",NA,27075,21265,24764,27313,20847,20075,15209,19321,19958,14939,"Oil & Gas Operations","United States","http://images.forbes.com/media/lists/companies/hess_416x416.jpg"
"218","sumitomo",NA,17922,18765,16158,15971,13498,13746,16763,21991,17887,14352,"Trading Companies","Japan","http://images.forbes.com/media/lists/companies/sumitomo_416x416.jpg"
"219","bristol-myers-squibb",NA,44961,56011,63791,85947,105000,118221,88009,84767,74378,137580,"Drugs & Biotechnology","United States","http://images.forbes.com/media/lists/companies/bristol-myers-squibb_416x416.jpg"
"220","cnp-assurances",NA,11996,9646,9873,14634,12418,11688,13836,17120,16460,7083,"Insurance","France","http://images.forbes.com/media/lists/companies/cnp-assurances_416x416.jpg"
"221","telstra",NA,33035,42935,58405,58096,59101,50828,40727,28682,28972,23729,"Telecommunications Services","Australia","http://images.forbes.com/media/lists/companies/telstra_416x416.jpg"
"222","shanghai-pudong-development",NA,28591,27290,31552,29241,49235,55209,50451,50739,52138,44244,"Banking","China","http://images.forbes.com/media/lists/companies/shanghai-pudong-development_416x416.jpg"
"223","thyssenkrupp-group",NA,20027,13888,12383,15543,15415,13795,13549,17258,9533,4146,"Conglomerates","Germany","http://images.forbes.com/media/lists/companies/thyssenkrupp-group_416x416.jpg"
"224","softbank",NA,43524,32281,47188,91219,70286,67137,78632,84919,112400,89742,"Telecommunications Services","Japan","http://images.forbes.com/media/lists/companies/softbank_416x416.jpg"
"225","wesfarmers",NA,36549,35494,51932,43464,37391,36385,37822,37669,28372,27978,"Food Markets","Australia","http://images.forbes.com/media/lists/companies/wesfarmers_416x416.jpg"
"226","telia",NA,38201,29889,30960,32918,27817,21040,17011,21940,18669,13717,"Telecommunications Services","Sweden","http://images.forbes.com/media/lists/companies/telia_416x416.jpg"
"227","commerzbank",NA,10747,14056,9160,21712,16384,11754,11025,16146,11444,4628,"Banking","Germany","http://images.forbes.com/media/lists/companies/commerzbank_416x416.jpg"
"228","airbus",NA,22046,33380,46036,56938,52437,50877,59472,92149,104873,49595,"Aerospace & Defense","Netherlands","http://images.forbes.com/media/lists/companies/airbus_416x416.jpg"
"229","indian-oil",NA,16378,13205,14239,11133,14608,15644,30036,24448,21869,10562,"Oil & Gas Operations","India","http://images.forbes.com/media/lists/companies/indian-oil_416x416.jpg"
"230","legal-general-group",NA,10824,12557,15496,20838,24972,20971,18176,22572,22582,15315,"Insurance","United Kingdom","http://images.forbes.com/media/lists/companies/legal-general-group_416x416.jpg"
"231","carrefour",NA,31208,17305,19826,27431,25200,21875,16643,15035,14655,11792,"Food Markets","France","http://images.forbes.com/media/lists/companies/carrefour_416x416.jpg"
"232","costco-wholesale",NA,31670,39335,44242,49205,67096,65820,74892,85903,108127,133799,"Retailing","United States","http://images.forbes.com/media/lists/companies/costco-wholesale_416x416.jpg"
"233","medtronic",NA,40722,41291,46047,61660,110243,110668,110017,115965,112952,130841,"Health Care Equipment & Services","Ireland","http://images.forbes.com/media/lists/companies/medtronic_416x416.jpg"
"234","sap",NA,71862,88080,103926,97120,90240,98375,119722,138862,134852,142428,"IT Software & Services","Germany","http://images.forbes.com/media/lists/companies/sap_416x416.jpg"
"235","shinhan-financial-group",NA,20625,18911,17231,21053,17791,17637,20042,21152,18685,11748,"Diversified Financials","South Korea","http://images.forbes.com/media/lists/companies/shinhan-financial-group_416x416.jpg"
