"","uri","marketValue_2010","marketValue_2011","marketValue_2012","marketValue_2013","marketValue_2014","marketValue_2015","marketValue_2016","marketValue_2017","marketValue_2018","marketValue_2019","marketValue_2020","industry","country","organization.image"
"129","hyundai-motor",NA,35788,43629,41460,49716,32854,28938,34221,31567,31241,20117,"Consumer Durables","South Korea","http://images.forbes.com/media/lists/companies/hyundai-motor_416x416.jpg"
"130","us-bancorp",NA,52200,60481,63765,78244,77227,74996,86608,84587,81885,55526,"Banking","United States","http://images.forbes.com/media/lists/companies/us-bancorp_416x416.jpg"
"131","anglo-american",NA,66216,54895,39900,35290,20886,13599,19774,32007,35852,22029,"Materials","United Kingdom","http://images.forbes.com/media/lists/companies/anglo-american_416x416.jpg"
"132","glaxosmithkline",NA,99203,111822,111091,128797,114126,104243,99751,98558,97632,104350,"Drugs & Biotechnology","United Kingdom","http://images.forbes.com/media/lists/companies/glaxosmithkline_416x416.jpg"
"133","aviva",NA,20500,17459,14541,24125,24454,25717,25914,29521,21967,11958,"Insurance","United Kingdom","http://images.forbes.com/media/lists/companies/aviva_416x416.jpg"
"134","state-bank-of-india",NA,36091,28191,28082,23605,32987,23323,36549,33275,40012,22628,"Banking","India","http://images.forbes.com/media/lists/companies/state-bank-of-india_416x416.jpg"
"135","telecom-italia",NA,30500,21272,15186,22807,21956,18440,18117,20241,12163,8344,"Telecommunications Services","Italy","http://images.forbes.com/media/lists/companies/telecom-italia_416x416.jpg"
"136","caterpillar",NA,63895,73547,58188,63661,49397,45607,56021,92592,82510,62989,"Capital Goods","United States","http://images.forbes.com/media/lists/companies/caterpillar_416x416.jpg"
"137","schlumberger",NA,117372,102381,105464,127979,109785,111135,109201,98455,63145,23343,"Oil & Gas Operations","United States","http://images.forbes.com/media/lists/companies/schlumberger_416x416.jpg"
"138","canon",NA,61917,63459,41942,40827,49763,40413,41579,46356,30901,22727,"Business Services & Supplies","Japan","http://images.forbes.com/media/lists/companies/canon_416x416.jpg"
"139","home-depot",NA,60866,75614,103299,109652,149246,169777,176728,219374,226790,236124,"Retailing","United States","http://images.forbes.com/media/lists/companies/home-depot_416x416.jpg"
"140","tokyo-electric-power",NA,41545,4326,3623,6266,6155,8754,6135,8233,8922,5439,"Utilities","Japan","http://images.forbes.com/media/lists/companies/tokyo-electric-power_416x416.jpg"
"141","cnooc",NA,101287,96330,84344,67227,64384,58022,54818,78832,83886,50624,"Oil & Gas Operations","Hong Kong","http://images.forbes.com/media/lists/companies/cnooc_416x416.jpg"
"142","china-shenhua-energy",NA,82273,84186,70764,57563,63774,43089,54095,64620,57349,35559,"Materials","China","http://images.forbes.com/media/lists/companies/china-shenhua-energy_416x416.jpg"
"143","vivendi",NA,33801,22892,27820,37254,34556,28201,24170,36086,36999,25285,"Telecommunications Services","France","http://images.forbes.com/media/lists/companies/vivendi_416x416.jpg"
"144","bayer",NA,62533,59197,84872,111336,126382,102527,94382,104625,64127,64714,"Drugs & Biotechnology","Germany","http://images.forbes.com/media/lists/companies/bayer_416x416.jpg"
"145","ping-an-insurance",NA,67008,55011,57000,66129,113846,89974,100811,181411,220197,187215,"Insurance","China","http://images.forbes.com/media/lists/companies/ping-an-insurance_416x416.jpg"
"146","news-corp",NA,45525,49506,70595,10098,9405,7529,7273,8846,7324,5830,"Media","United States","http://images.forbes.com/media/lists/companies/news-corp_416x416.jpg"
"147","vinci",NA,32888,30457,25353,44241,35233,43025,43568,56769,55821,45468,"Construction","France","http://images.forbes.com/media/lists/companies/vinci_416x416.jpg"
"148","marathon-oil",NA,35635,24363,24819,24504,18837,12157,13775,17917,14445,4837,"Oil & Gas Operations","United States","http://images.forbes.com/media/lists/companies/marathon-oil_416x416.jpg"
"149","pnc-financial-services",NA,33060,33458,35299,46603,48159,43957,57935,70880,60202,45228,"Banking","United States","http://images.forbes.com/media/lists/companies/pnc-financial-services_416x416.jpg"
"150","philip-morris-international",NA,114621,147754,150558,130319,121139,150346,176221,126223,131450,116162,"Food, Drink & Tobacco","United States","http://images.forbes.com/media/lists/companies/philip-morris-international_416x416.jpg"
"151","united-parcel-service",NA,73136,75162,81491,89649,87376,93295,91344,99698,98268,81285,"Transportation","United States","http://images.forbes.com/media/lists/companies/united-parcel-service_416x416.jpg"
"152","target",NA,35714,39094,43106,38351,53483,49397,29424,37649,42990,54851,"Retailing","United States","http://images.forbes.com/media/lists/companies/target_416x416.jpg"
